No,id,상호명,번호,플레이스링크,주소,이메일,인스타,naver_blog_id,keyword,결과(E),로그(E),결과(I),로그(I),created_at
1,50,언바운드짐 PT 선정릉역점,0507-1355-4192,https://m.place.naver.com/place/1067440344/home,서울 강남구 선릉로111길 10 지하1층,unboundgym@naver.com,https://www.instagram.com/unbound.gym,https://blog.naver.com/unboundgym,서울 강남구 논현동 필라테스,,,,,2026-06-01 07:45:45
2,49,에블바레 강남점,0507-1381-8887,https://m.place.naver.com/place/1044121609/home,서울 강남구 언주로148길 33 2층,everybarre@naver.com,https://www.instagram.com/every_barre,https://blog.naver.com/everybarre,서울 강남구 논현동 필라테스,,,,,2026-06-01 07:45:21
3,48,바디쉬휘트니스 언주역점,0507-1417-1995,https://m.place.naver.com/place/1266897442/home,서울 강남구 논현로 611 지하1층,bodyshe_1@naver.com,https://www.instagram.com/bodyshe_2/,https://blog.naver.com/bodyshe_1,서울 강남구 논현동 필라테스,,,,,2026-06-01 07:45:07
4,47,헬스보이짐 필라걸 학동역점,0507-1446-9059,https://m.place.naver.com/place/1739218540/home,서울 강남구 학동로 171 삼익악기빌딩 B1,healthboygym37@naver.com,https://www.instagram.com/healthboy37,https://blog.naver.com/healthboygym37,서울 강남구 논현동 필라테스,,,,,2026-06-01 07:44:48
5,46,제이블랑필라테스 대청점,0507-1389-0627,https://m.place.naver.com/place/1100229566/home,서울 강남구 일원로 37 6층 제이블랑필라테스,jblancpila3@naver.com,https://www.instagram.com/jblanc.daecheong,https://blog.naver.com/jblancpila3,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:44:00
6,45,라이프이즈필라테스 선릉점,0507-1414-4945,https://m.place.naver.com/place/1234197413/home,서울 강남구 선릉로 429 B1층,lifeispilatessl@naver.com,https://www.instagram.com/lifeispilates_official,https://blog.naver.com/lifeispilatessl,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:43:41
7,44,피치플레이헬스&필라테스 역삼점,0507-1396-6892,https://m.place.naver.com/place/2047967825/home,서울 강남구 논현로86길 20 지하1층,peach__play@naver.com,https://www.instagram.com/peach__play,https://blog.naver.com/peach__play,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:43:14
8,43,코어짐 PT&헬스&필라테스 선릉점,0507-1425-0298,https://m.place.naver.com/place/12844877/home,서울 강남구 테헤란로48길 10 우정에쉐르2 지하 1층,core_gym@naver.com,,https://blog.naver.com/core_gym,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:42:59
9,42,필라이브 필라테스 강남일원점,0507-1342-7384,https://m.place.naver.com/place/1809360730/home,"서울 강남구 광평로 63 정오빌딩 B1, B2 필라이브 필라테스 강남 일원점",pilavibe@naver.com,https://www.instagram.com/pilivepilates_iw/,https://blog.naver.com/pilavibe,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:42:37
10,41,필라테스 더핏,02-571-7740,https://m.place.naver.com/place/20609839/home,서울 강남구 언주로30길 13 대림아크로텔 C동 2층 더핏,pilatesthefit@naver.com,http://www.instagram.com/pilatesthefit,https://blog.naver.com/pilatesthefit,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:42:14
11,40,코어하우스,0507-1448-4474,https://m.place.naver.com/place/2005705430/home,서울 강남구 논현로87길 19 Square736 지하1층,corehaus@naver.com,https://www.instagram.com/corehaus_seoul,https://blog.naver.com/corehaus,서울 강남구 개포동 필라테스,,,,,2026-06-01 07:40:50
